1,"Tincho 1","Member Association IPPF/WHR","Lower Bishopgate Street",,,,"Saint John","Saint John","Saint John","Saint John","Antigua and Barbuda",1,,,17.123834,-61.841068,1,,SI,SI,SI,NO,SI,SI,SI,"1 268 462 0947",appa@apuainet.ag,,,https://www.facebook.com/AntiguaPlannedParenthood/,,,"1 268 462 0947",appa@apuainet.ag,,,https://www.facebook.com/AntiguaPlannedParenthood/,,"Testing for HIV and other STI","1 268 462 0947",appa@apuainet.ag,,,https://www.facebook.com/AntiguaPlannedParenthood/,,,,,,,,,,"1 268 462 0947",appa@apuainet.ag,,,https://www.facebook.com/AntiguaPlannedParenthood/,,"Breast cancer and cervical cancer screening ","1 268 462 0947",appa@apuainet.ag,,,https://www.facebook.com/AntiguaPlannedParenthood/,,,,,,,,,SI,SI,SI,SI,SI,SI
2,"Tincho 2","Asociación Miembro IPPF/WHR",Lezica,3902,,,Almagro,Almagro,"Ciudad Autónoma de Buenos Aires","Ciudad Autónoma de Buenos Aires",Argentina,1,,,-34.610866,-58.421288,1,,SI,NO,SI,SI,SI,SI,NO,"54 11 4981 4241",info@grupofusa.org,,,http://grupofusa.org/,,,,,,,,,,"54 11 4981 4241",info@grupofusa.org,,,http://grupofusa.org/,,,"54 11 4981 4241",info@grupofusa.org,,,http://grupofusa.org/,,,"54 11 4981 4241",info@grupofusa.org,,,http://grupofusa.org/,,"Detección de cáncer de cuello uterino","54 11 4981 4241",info@grupofusa.org,,,http://grupofusa.org/,,,gratis,,,,,,SI,SI,SI,SI,SI,SI
3,"Tincho 3","Socio colaborador",Peluffo,3932,,,Almagro,Almagro,"Ciudad Autónoma de Buenos Aires","Ciudad Autónoma de Buenos Aires",Argentina,1,,,-34.6104463,-58.4218081,1,,SI,SI,NO,NO,NO,NO,SI,"0800 222 4837",info@huesped.org.ar,"Lunes a Viernes 10 a 18 hs.",,https://www.huesped.org.ar/,,,"0800 222 4837",info@huesped.org.ar,"Lunes a Jueves 14 a 17.30 hs.",,https://www.huesped.org.ar/,,"Realización de pruebas de VIH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratis,gratis,,,,,SI,SI,SI,SI,SI,SI
210,Martin,Pryeba,psopsdpdsf,"Esta es la casa",2,"de . aetin",Devoto,Almagro,"Ciudad Autónoma de Buenos Aires","Ciudad Autónoma de Buenos Aires",Argentina,1,NO!,,-34.5892787,-58.508485799999995,,,SI,SI,NO,SI,SI,NO,NO,2121332132,tinchoforever@gmail.com,mismo,Yo,https://12323121321,,,2121332132,tinchoforever@gmail.com,mismo,Yo,https://12323121321,,,,,,,,,,2121332132,tinchoforever@gmail.com,mismo,Yo,https://12323121321,,,2121332132,tinchoforever@gmail.com,mismo,Yo,https://12323121321,,,,,,,,,,gratuito,arancel,,arancel,arancel,,SI,NO,NO,SI,NO,NO
4,"Tincho 4","Member Association IPPF/WHR","Avenida Milo Croes  ",17B,,,Oranjestad,Oranjestad,Oranjestad,Oranjestad,Aruba,1,,,12.510971,-70.020079,1,,NO,NO,NO,NO,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"011 297 588 9590/1",famiaplanea@hotmail.com,,,http://caribbeanfamilyplanning.com/where-we-work/aruba/,,,,,,,,,SI,SI,SI,SI,SI,SI
5,"Tincho 5","Member Association IPPF/WHR","Bay Street",,,,Bridgetown,Bridgetown,"St. Michael","St. Michael",Barbados,1,,,13.087901,-59.60891,1,,SI,SI,SI,SI,SI,SI,SI,"1 246 426 2027",info@bfpaonline.com,,,https://www.facebook.com/BarbadosFamilyPlanningAssociation/,,,"1 246 426 2027",info@bfpaonline.com,,,https://www.facebook.com/BarbadosFamilyPlanningAssociation/,,"Testing for HIV and other STI","1 246 426 2027",info@bfpaonline.com,,,https://www.facebook.com/BarbadosFamilyPlanningAssociation/,,,"1 246 426 2027",info@bfpaonline.com,,,https://www.facebook.com/BarbadosFamilyPlanningAssociation/,,,"1 246 426 2027",info@bfpaonline.com,,,https://www.facebook.com/BarbadosFamilyPlanningAssociation/,,"Cervical cancer screening ","1 246 426 2027",info@bfpaonline.com,,,https://www.facebook.com/BarbadosFamilyPlanningAssociation/,,,,,,,,,SI,SI,SI,SI,SI,SI
6,"Tincho 6","Member Association IPPF/WHR","2621 Mercy Lane",,,,"Belize City","Belize City","Belize City",Belize,Belize,1,,,17.506747,-88.19842,1,,SI,SI,SI,SI,SI,SI,SI,"203 1018/4399",,"Monday-Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,,"203 1018/4399",,"Monday-Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,"Testing for HIV and other STI","203 1018/4399",,"Monday-Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,,"203 1018/4399",,"Monday-Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,,"203 1018/4399",,"Monday-Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,"Cervical cancer screening ","203 1018/4399",,"Monday-Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,,,,,,,,SI,SI,SI,SI,SI,SI
7,"Tincho 7","Member Association IPPF/WHR","Western Regional Hospital Compound",,,,Belmopan,Belmopan,Belmopan,Cayo,Belize,1,,,17.2510114,-88.7590201,1,,SI,SI,SI,NO,SI,SI,SI,"636 0274",,"Tuesday, Wednesday 9 a.m. - 4 p.m.",,http://www.bflabelize.org/,,,"636 0274",,"Tuesday, Wednesday 9 a.m. - 4 p.m.",,http://www.bflabelize.org/,,"Testing for HIV and other STI","636 0274",,"Tuesday, Wednesday 9 a.m. - 4 p.m.",,http://www.bflabelize.org/,,,,,,,,,,"636 0274",,"Tuesday, Wednesday 9 a.m. - 4 p.m.",,http://www.bflabelize.org/,,"Cervical cancer screening ","636 0274",,"Tuesday, Wednesday 9 a.m. - 4 p.m.",,http://www.bflabelize.org/,,,,,,,,,SI,SI,SI,SI,SI,SI
8,"Tincho 8","Member Association IPPF/WHR","Stanly Drive",,,"Ramos Road",Dangriga,Dangriga,Dangriga,"Stann Creek",Belize,1,,,16.9694404,-88.2238817,1,,SI,SI,SI,NO,SI,SI,SI,"502 2280",,"Monday-Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,,"502 2280",,"Monday-Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,"Testing for HIV and other STI","502 2280",,"Monday-Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,,,,,,,,,"502 2280",,"Monday-Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,"Cervical cancer screening ","502 2280",,"Monday-Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,,,,,,,,SI,SI,SI,SI,SI,SI
9,"Tincho 9","Member Association IPPF/WHR","Central American Boulevard",,,"Mahogany Street","Belize City","Belize City","Belize City",Belize,Belize,1,,,17.500298,-88.198891,1,,NO,SI,SI,NO,SI,SI,SI,"202 5881/5976",,"Monday-Friday 8 a.m. - 8 p.m.",,http://www.bflabelize.org/,,,"202 5881/5976",,"Monday-Friday 8 a.m. - 8 p.m.",,http://www.bflabelize.org/,,"Testing for HIV and other STI","202 5881/5976",,"Monday-Friday 8 a.m. - 8 p.m.",,http://www.bflabelize.org/,,,,,,,,,,"202 5881/5976",,"Monday-Friday 8 a.m. - 8 p.m.",,http://www.bflabelize.org/,,"Cervical cancer screening ","202 5881/5976",,"Monday-Friday 8 a.m. - 8 p.m.",,http://www.bflabelize.org/,,,,,,,,,SI,SI,SI,SI,SI,SI
